SourceUserID,ReplyUserID,ReplyCount,SourceStance,ReplyStance,AgreeScore
4980,9938,1,R,U,-1
5086,5086,1,U,U,1
5086,6217,6,U,U,6
5086,7508,1,U,U,1
5086,7767,1,U,U,1
5086,8861,1,U,U,1
5086,9605,1,U,U,1
5086,10143,1,U,U,1
5086,10574,1,U,R,-1
5086,11798,1,U,U,1
5158,5158,1,N,N,0
5158,6217,1,N,U,0
5165,8078,1,U,U,1
5180,5180,2,U,U,2
5271,5271,3,U,U,3
5271,5800,1,U,U,1
5274,5274,5,U,U,5
5366,5366,4,U,U,4
5379,5875,1,U,R,-1
5379,5885,1,U,R,-1
5414,6217,5,U,U,5
5414,8878,1,U,U,1
5500,5500,1,U,U,1
5500,7448,1,U,R,-1
5500,7832,1,U,R,-1
5500,11463,1,U,U,1
5527,7448,1,N,R,0
5534,11658,1,U,U,1
5631,6149,14,U,R,-14
5631,7965,1,U,R,-1
5716,5716,1,N,N,0
5716,5797,2,N,R,0
5716,7705,1,N,U,0
5716,8078,2,N,U,0
5716,8338,1,N,U,0
5716,10106,1,N,R,0
5716,12180,12,N,U,0
5800,5800,1,U,U,1
5800,5980,2,U,U,2
5800,10767,1,U,U,1
5875,11718,2,R,U,-2
5875,12431,1,R,U,-1
5885,11718,1,R,U,-1
5885,11969,1,R,U,-1
5885,12431,2,R,U,-2
5918,7819,1,R,U,-1
5980,5980,3,U,U,3
5980,6217,2,U,U,2
5980,8861,1,U,U,1
5980,10143,1,U,U,1
6149,6149,10,R,R,10
6217,7007,1,U,U,1
6217,7269,3,U,U,3
6217,8028,1,U,U,1
6217,8736,1,U,U,1
6217,9254,1,U,U,1
6217,9429,1,U,U,1
6217,9757,1,U,U,1
6217,10364,3,U,U,3
6217,10626,1,U,U,1
6217,10746,1,U,U,1
6217,10767,1,U,U,1
6217,10769,2,U,U,2
6217,11581,1,U,U,1
6217,12007,1,U,U,1
6217,12045,6,U,U,6
6217,12108,1,U,U,1
6217,12152,1,U,U,1
6328,6328,1,U,U,1
6328,8078,1,U,U,1
6402,6402,7,U,U,7
6427,6427,2,U,U,2
6535,6535,30,R,R,30
6555,6555,20,N,N,0
6630,6630,1,U,U,1
6640,6640,38,R,R,38
6689,11658,1,U,U,1
6725,11658,2,U,U,2
6733,6733,1,N,N,0
6828,6828,5,R,R,5
6881,6881,3,U,U,3
6971,9983,1,U,U,1
6971,10314,1,U,U,1
6971,10364,1,U,U,1
6971,11316,1,U,U,1
7006,7006,8,R,R,8
7007,7007,3,U,U,3
7012,7012,1,U,U,1
7104,7104,7,U,U,7
7104,7832,1,U,R,-1
7104,10357,1,U,R,-1
7134,7134,1,R,R,1
7134,11004,2,R,U,-2
7187,7798,2,U,U,2
7266,10626,1,U,U,1
7269,10143,2,U,U,2
7269,10548,1,U,U,1
7275,7275,1,U,U,1
7282,7282,3,U,U,3
7282,7798,1,U,U,1
7446,7446,1,R,R,1
7447,10314,1,U,U,1
7453,7453,1,U,U,1
7508,7508,21,U,U,21
7620,7620,5,N,N,0
7705,7821,1,U,U,1
7705,10445,1,U,U,1
7705,10679,1,U,U,1
7705,10773,1,U,U,1
7705,10997,3,U,U,3
7705,12045,1,U,U,1
7705,12227,1,U,U,1
7767,9645,1,U,U,1
7798,10592,2,U,U,2
7798,11547,3,U,U,3
7799,7799,2,U,U,2
7819,8078,1,U,U,1
7821,7821,2,U,U,2
7821,8078,2,U,U,2
7832,7832,55,R,R,55
7859,7859,40,U,U,40
7884,9624,1,U,R,-1
7895,7895,6,N,N,0
7895,12227,1,N,U,0
7954,7954,1,U,U,1
7965,7965,63,R,R,63
8078,8078,1,U,U,1
8078,9021,1,U,U,1
8078,9356,1,U,N,0
8078,10375,1,U,U,1
8078,10724,2,U,U,2
8078,11316,1,U,U,1
8199,11658,2,U,U,2
8592,10329,1,R,R,1
8669,8669,1,U,U,1
8722,8722,1,R,R,1
8722,9605,6,R,U,-6
8758,8758,7,U,U,7
8853,8853,1,R,R,1
8878,8878,14,U,U,14
9003,10548,1,U,U,1
9021,11890,1,U,U,1
9032,9032,4,N,N,0
9112,10408,1,U,U,1
9112,10548,1,U,U,1
9223,12180,5,U,U,5
9237,9237,8,N,N,0
9254,10143,1,U,U,1
9538,9538,10,U,U,10
9624,9624,1,R,R,1
9624,10679,1,R,U,-1
9624,10773,1,R,U,-1
9624,11893,1,R,U,-1
9661,9661,6,U,U,6
9798,9798,22,U,U,22
9868,9868,5,U,U,5
10058,11658,2,U,U,2
10106,10106,1,R,R,1
10138,11658,1,U,U,1
10143,10997,1,U,U,1
10143,11316,1,U,U,1
10143,12045,4,U,U,4
10182,11079,1,U,U,1
10191,10191,1,U,U,1
10230,11658,2,U,U,2
10234,11772,1,U,U,1
10238,10238,5,U,U,5
10364,10364,1,U,U,1
10408,10408,1,U,U,1
10445,10445,1,U,U,1
10537,10537,3,U,U,3
10548,10548,7,U,U,7
10548,10559,1,U,U,1
10548,12007,1,U,U,1
10574,10574,19,R,R,19
10584,10584,41,U,U,41
10584,12007,1,U,U,1
10626,10626,3,U,U,3
10724,12180,6,U,U,6
10746,10746,1,U,U,1
10769,12007,1,U,U,1
10769,12317,2,U,U,2
10997,10997,3,U,U,3
11069,11069,1,R,R,1
11205,11205,7,U,U,7
11300,11300,5,U,U,5
11300,11906,1,U,U,1
11426,11426,2,N,N,0
11463,11463,1,U,U,1
11581,11581,1,U,U,1
11658,11772,1,U,U,1
11658,12317,5,U,U,5
11678,11678,3,U,U,3
11678,11772,1,U,U,1
11856,11856,3,N,N,0
11884,11884,1,R,R,1
11890,12045,1,U,U,1
11890,12152,1,U,U,1
11904,11904,3,U,U,3
12007,12007,1,U,U,1
12030,12030,23,U,U,23
12045,12045,3,U,U,3
12152,12152,4,U,U,4
12152,12180,1,U,U,1
12180,12227,8,U,U,8
12226,12226,1,U,U,1
12227,12227,6,U,U,6
12431,12431,2,U,U,2
